Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need a loan to develop and launch my mobile app startup.,166867,330,30322,26.8,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,77963,426,56065,41.89,unemployed,Rejected
I need funds to pay for my pilot training program.,166316,782,81097,29.65,employed,Approved
I need money to pay for a vocational training course in plumbing.,74091,301,25498,29.24,unemployed,Rejected
I need financial help to build my dream home in the countryside.,36849,319,4263,82.85,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,89180,775,5014,5.92,unemployed,Rejected
I need financial support to renovate my rental apartment.,106845,328,44148,10.8,employed,Rejected
I need a loan to buy a truck and start a moving business.,126749,606,77035,11.32,unemployed,Rejected
I need funds to stock inventory for my new retail store.,155194,303,17986,27.98,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,51199,667,21830,10.54,employed,Approved
I need money to invest in a franchise business opportunity.,181290,725,52155,6.33,employed,Approved
I need money to buy new tools and materials for my woodworking business.,62579,639,11472,47.0,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,54906,349,33978,47.82,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,189848,755,80733,24.59,employed,Approved
I want to purchase land to start an organic farming venture.,91044,358,66135,27.52,unemployed,Rejected
I need money to cover adoption fees and related expenses.,109092,503,48727,40.38,employed,Rejected
I want to make home improvements like installing solar panels.,42790,418,11430,62.17,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,152787,745,61687,11.06,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,164746,481,6292,19.02,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,136691,582,78012,29.14,employed,Approved
I need a loan to finance my MBA and career advancement.,25209,560,18486,113.09,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,50862,742,21283,18.51,employed,Approved
I need money to cover adoption fees and related expenses.,179685,525,87108,16.2,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,176305,485,86455,4.52,unemployed,Rejected
I need money to invest in a franchise business opportunity.,136117,628,66001,25.09,employed,Approved
I want to make home improvements like installing solar panels.,198420,492,156297,17.36,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,100071,639,54959,35.63,employed,Approved
I need a loan to pay for a down payment on my first home.,85565,632,14641,58.14,employed,Rejected
I need funds to pay for my pilot training program.,20147,665,10346,197.41,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,48581,656,12002,99.23,employed,Rejected
I need a loan to pay for an international vacation with my family.,73767,506,47485,40.44,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,22034,826,9922,80.92,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,198456,372,134060,6.81,employed,Rejected
I need a loan to start a small business.,149982,587,119292,20.39,employed,Rejected
I need a loan to pay for an international vacation with my family.,84596,790,17599,50.63,unemployed,Rejected
I want to make home improvements like installing solar panels.,186042,636,13750,16.56,employed,Approved
I need a loan to repair my car after an accident.,156543,797,116596,25.84,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,154575,674,74507,30.48,unemployed,Rejected
I need money to publish and market my self-written book.,190907,407,68686,21.37,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,123789,548,94292,6.75,employed,Rejected
I need a loan to start a small business.,143276,542,77989,26.2,unemployed,Rejected
I need money to purchase a food truck and start my own business.,92533,620,34115,38.16,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,48919,344,27410,70.76,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,55504,694,23502,84.6,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,98045,762,75454,28.81,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,28124,565,12170,75.91,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,106347,355,80425,33.18,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,152718,621,67503,22.6,employed,Approved
I need financial support to pay for my son's football training program.,106472,726,73373,45.69,employed,Rejected
I need money to open a small bookstore and café.,145029,838,108978,17.43,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,197521,339,56185,18.75,employed,Rejected
I need a loan to pay for a down payment on my first home.,190958,400,123078,18.61,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,199852,497,7695,12.87,employed,Rejected
I need a loan to buy a truck and start a moving business.,153132,847,51843,12.59,employed,Approved
I need financial help to pay off my high-interest payday loans.,70003,502,22072,54.05,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,81943,493,39118,38.8,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,165313,641,12329,30.07,employed,Approved
I need a loan to pay off overdue electricity and water bills.,42806,441,26728,116.3,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,61581,769,21549,33.44,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,94643,761,35404,16.08,employed,Approved
I need a loan to install a security system at home.,56609,431,18553,37.27,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,39617,599,26959,82.74,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,173396,548,83303,16.37,unemployed,Rejected
I want to purchase land to start an organic farming venture.,138353,342,5816,10.66,employed,Rejected
I need money to invest in a franchise business opportunity.,49765,781,5826,43.16,employed,Approved
I want to buy a car for my rideshare business on Uber.,101046,571,74872,28.33,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,122662,413,15126,12.63,employed,Rejected
I need funds to enroll in a professional certification program.,186426,451,4740,19.47,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,27776,748,4387,113.61,employed,Rejected
I need funds to stock inventory for my new retail store.,59171,542,42439,81.13,employed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,121240,603,55951,19.44,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,195950,304,98249,11.14,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,109157,640,17524,7.64,unemployed,Rejected
I need a loan to repair my car after an accident.,107249,738,66499,5.07,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,161278,619,31420,11.89,employed,Approved
I need a loan to buy a truck and start a moving business.,127463,496,95787,33.57,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,197831,720,8662,3.7,employed,Approved
I need money to pay for a vocational training course in plumbing.,124938,686,19627,38.66,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,68166,488,5067,21.72,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,108384,323,14655,28.82,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,133158,773,95542,4.92,employed,Rejected
I need a loan to support my side business selling handmade candles.,197790,410,11137,8.25,employed,Rejected
I need money to cover funeral expenses for a loved one.,173096,513,82091,12.46,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,134405,787,16008,11.7,unemployed,Rejected
